Year,Month,Employment,Unemployment,NonLabor,Employment0,Unemployment0,NonLabor0
1980,1,5333,113,3405,5333,113,3405
1980,2,5339,111,3403,5339,111,3403
1980,3,5425,124,3315,5425,124,3315
1980,4,5557,118,3204,5557,118,3204
1980,5,5610,109,3170,5610,109,3170
1980,6,5658,105,3135,5658,105,3135
1980,7,5641,112,3142,5641,112,3142
1980,8,5609,115,3187,5609,115,3187
1980,9,5621,109,3196,5621,109,3196
1980,10,5603,113,3222,5603,113,3222
1980,11,5553,121,3272,5553,121,3272
1980,12,5483,118,3340,5483,118,3340
1981,1,5408,123,3427,5333,113,3405
1981,2,5398,135,3427,5339,111,3403
1981,3,5488,142,3340,5425,124,3315
1981,4,5621,137,3213,5557,118,3204
1981,5,5656,132,3191,5610,109,3170
1981,6,5678,126,3179,5658,105,3135
1981,7,5660,121,3202,5641,112,3142
1981,8,5641,115,3239,5609,115,3187
1981,9,5639,120,3246,5621,109,3196
1981,10,5637,122,3251,5603,113,3222
1981,11,5609,119,3286,5553,121,3272
1981,12,5542,119,3347,5483,118,3340
1982,1,5445,131,3451,5333,113,3405
1982,2,5454,135,3450,5339,111,3403
1982,3,5550,147,3350,5425,124,3315
1982,4,5663,143,3250,5557,118,3204
1982,5,5737,134,3199,5610,109,3170
1982,6,5723,137,3224,5658,105,3135
1982,7,5689,132,3262,5641,112,3142
1982,8,5679,130,3295,5609,115,3187
1982,9,5689,134,3291,5621,109,3196
1982,10,5710,139,3275,5603,113,3222
1982,11,5678,134,3315,5553,121,3272
1982,12,5642,135,3349,5483,118,3340
1983,1,5563,162,3423,5333,113,3405
1983,2,5560,165,3433,5339,111,3403
1983,3,5633,172,3351,5425,124,3315
1983,4,5752,170,3245,5557,118,3204
1983,5,5829,158,3188,5610,109,3170
1983,6,5841,148,3203,5658,105,3135
1983,7,5809,144,3240,5641,112,3142
1983,8,5782,158,3271,5609,115,3187
1983,9,5796,157,3271,5621,109,3196
1983,10,5806,149,3274,5603,113,3222
1983,11,5755,147,3333,5553,121,3272
1983,12,5663,143,3430,5483,118,3340
1984,1,5559,165,3525,5333,113,3405
1984,2,5565,171,3516,5339,111,3403
1984,3,5657,178,3427,5425,124,3315
1984,4,5793,168,3315,5557,118,3204
1984,5,5843,160,3280,5610,109,3170
1984,6,5866,163,3266,5658,105,3135
1984,7,5838,157,3304,5641,112,3142
1984,8,5821,157,3338,5609,115,3187
1984,9,5865,159,3311,5621,109,3196
1984,10,5856,159,3323,5603,113,3222
1984,11,5809,151,3387,5553,121,3272
1984,12,5722,142,3480,5483,118,3340
1985,1,5661,152,3551,5333,113,3405
1985,2,5647,164,3559,5339,111,3403
1985,3,5709,174,3493,5425,124,3315
1985,4,5848,157,3380,5557,118,3204
1985,5,5901,153,3347,5610,109,3170
1985,6,5886,153,3366,5658,105,3135
1985,7,5886,145,3380,5641,112,3142
1985,8,5857,148,3415,5609,115,3187
1985,9,5880,158,3406,5621,109,3196
1985,10,5872,159,3424,5603,113,3222
1985,11,5820,159,3488,5553,121,3272
1985,12,5717,154,3594,5483,118,3340
1986,1,5692,165,3623,5333,113,3405
1986,2,5688,164,3641,5339,111,3403
1986,3,5752,183,3570,5425,124,3315
1986,4,5884,182,3441,5557,118,3204
1986,5,5921,162,3414,5610,109,3170
1986,6,5932,161,3416,5658,105,3135
1986,7,5945,167,3421,5641,112,3142
1986,8,5919,169,3465,5609,115,3187
1986,9,5919,167,3486,5621,109,3196
1986,10,5921,161,3501,5603,113,3222
1986,11,5874,159,3552,5553,121,3272
1986,12,5794,161,3625,5483,118,3340
1987,1,5716,182,3710,5333,113,3405
1987,2,5703,186,3726,5339,111,3403
1987,3,5798,194,3645,5425,124,3315
1987,4,5930,190,3524,5557,118,3204
1987,5,5976,191,3478,5610,109,3170
1987,6,5996,176,3482,5658,105,3135
1987,7,5989,159,3522,5641,112,3142
1987,8,5983,166,3538,5609,115,3187
1987,9,5980,166,3550,5621,109,3196
1987,10,5980,162,3570,5603,113,3222
1987,11,5965,156,3606,5553,121,3272
1987,12,5912,150,3661,5483,118,3340
1988,1,5828,168,3751,5333,113,3405
1988,2,5803,173,3775,5339,111,3403
1988,3,5888,180,3690,5425,124,3315
1988,4,6038,166,3569,5557,118,3204
1988,5,6106,156,3529,5610,109,3170
1988,6,6106,144,3539,5658,105,3135
1988,7,6105,148,3542,5641,112,3142
1988,8,6073,157,3581,5609,115,3187
1988,9,6064,151,3618,5621,109,3196
1988,10,6065,146,3636,5603,113,3222
1988,11,6049,141,3672,5553,121,3272
1988,12,6002,134,3713,5483,118,3340
1989,1,5905,146,3812,5333,113,3405
1989,2,5917,151,3803,5339,111,3403
1989,3,5999,163,3723,5425,124,3315
1989,4,6134,156,3597,5557,118,3204
1989,5,6208,150,3547,5610,109,3170
1989,6,6239,134,3545,5658,105,3135
1989,7,6240,132,3558,5641,112,3142
1989,8,6193,140,3611,5609,115,3187
1989,9,6187,138,3642,5621,109,3196
1989,10,6194,137,3643,5603,113,3222
1989,11,6179,133,3664,5553,121,3272
1989,12,6141,122,3713,5483,118,3340
1990,1,6036,141,3813,5333,113,3405
1990,2,6051,142,3799,5339,111,3403
1990,3,6152,141,3709,5425,124,3315
1990,4,6257,141,3609,5557,118,3204
1990,5,6340,136,3561,5610,109,3170
1990,6,6337,132,3568,5658,105,3135
1990,7,6334,126,3576,5641,112,3142
1990,8,6287,130,3637,5609,115,3187
1990,9,6326,138,3616,5621,109,3196
1990,10,6326,139,3626,5603,113,3222
1990,11,6298,126,3663,5553,121,3272
1990,12,6250,119,3712,5483,118,3340
1991,1,6175,133,3791,5333,113,3405
1991,2,6171,136,3794,5339,111,3403
1991,3,6263,154,3706,5425,124,3315
1991,4,6375,145,3615,5557,118,3204
1991,5,6447,136,3562,5610,109,3170
1991,6,6478,132,3544,5658,105,3135
1991,7,6443,133,3583,5641,112,3142
1991,8,6425,139,3612,5609,115,3187
1991,9,6437,141,3611,5621,109,3196
1991,10,6422,132,3640,5603,113,3222
1991,11,6412,131,3652,5553,121,3272
1991,12,6377,127,3679,5483,118,3340
1992,1,6264,141,3800,5333,113,3405
1992,2,6311,137,3772,5339,111,3403
1992,3,6350,151,3729,5425,124,3315
1992,4,6441,141,3639,5557,118,3204
1992,5,6511,142,3589,5610,109,3170
1992,6,6520,133,3604,5658,105,3135
1992,7,6480,134,3646,5641,112,3142
1992,8,6474,144,3657,5609,115,3187
1992,9,6478,147,3663,5621,109,3196
1992,10,6496,145,3654,5603,113,3222
1992,11,6487,146,3671,5553,121,3272
1992,12,6422,144,3726,5483,118,3340
1993,1,6296,152,3864,5333,113,3405
1993,2,6286,157,3875,5339,111,3403
1993,3,6355,168,3806,5425,124,3315
1993,4,6472,157,3701,5557,118,3204
1993,5,6527,169,3650,5610,109,3170
1993,6,6537,159,3654,5658,105,3135
1993,7,6520,159,3676,5641,112,3142
1993,8,6494,167,3709,5609,115,3187
1993,9,6493,172,3716,5621,109,3196
1993,10,6501,176,3706,5603,113,3222
1993,11,6483,176,3736,5553,121,3272
1993,12,6432,175,3786,5483,118,3340
1994,1,6326,184,3898,5333,113,3405
1994,2,6302,194,3908,5339,111,3403
1994,3,6365,208,3841,5425,124,3315
1994,4,6496,194,3721,5557,118,3204
1994,5,6557,191,3679,5610,109,3170
1994,6,6552,183,3698,5658,105,3135
1994,7,6516,188,3729,5641,112,3142
1994,8,6490,200,3755,5609,115,3187
1994,9,6484,201,3774,5621,109,3196
1994,10,6480,199,3784,5603,113,3222
1994,11,6458,185,3826,5553,121,3272
1994,12,6410,177,3877,5483,118,3340
1995,1,6324,196,3963,5333,113,3405
1995,2,6315,199,3963,5339,111,3403
1995,3,6381,219,3884,5425,124,3315
1995,4,6475,214,3790,5557,118,3204
1995,5,6526,208,3764,5610,109,3170
1995,6,6559,202,3744,5658,105,3135
1995,7,6542,202,3752,5641,112,3142
1995,8,6494,216,3794,5609,115,3187
1995,9,6529,219,3769,5621,109,3196
1995,10,6496,214,3817,5603,113,3222
1995,11,6439,218,3879,5553,121,3272
1995,12,6399,211,3917,5483,118,3340
1996,1,6322,230,3992,5333,113,3405
1996,2,6298,224,4011,5339,111,3403
1996,3,6398,229,3913,5425,124,3315
1996,4,6496,235,3809,5557,118,3204
1996,5,6530,240,3787,5610,109,3170
1996,6,6590,226,3749,5658,105,3135
1996,7,6589,221,3749,5641,112,3142
1996,8,6542,224,3802,5609,115,3187
1996,9,6569,224,3789,5621,109,3196
1996,10,6545,227,3816,5603,113,3222
1996,11,6497,212,3884,5553,121,3272
1996,12,6455,208,3918,5483,118,3340
1997,1,6420,222,3984,5333,113,3405
1997,2,6418,230,3973,5339,111,3403
1997,3,6489,234,3907,5425,124,3315
1997,4,6574,231,3826,5557,118,3204
1997,5,6632,244,3769,5610,109,3170
1997,6,6679,229,3746,5658,105,3135
1997,7,6649,224,3773,5641,112,3142
1997,8,6590,231,3829,5609,115,3187
1997,9,6596,236,3837,5621,109,3196
1997,10,6597,236,3844,5603,113,3222
1997,11,6529,228,3924,5553,121,3272
1997,12,6508,218,3944,5483,118,3340
